employee_id,skill_id,proficiency_level,years_of_experience
EMP0001,SKILL045,Intermediate,1.0
EMP0001,SKILL029,Expert,5.7
EMP0001,SKILL020,Advanced,4.2
EMP0001,SKILL031,Advanced,4.6
EMP0001,SKILL033,Expert,3.1
EMP0001,SKILL035,Intermediate,2.7
EMP0001,SKILL024,Intermediate,1.4
EMP0001,SKILL034,Advanced,2.7
EMP0002,SKILL001,Advanced,2.6
EMP0002,SKILL025,Intermediate,1.6
EMP0002,SKILL043,Beginner,0.9
EMP0002,SKILL007,Beginner,2.0
EMP0002,SKILL014,Intermediate,1.0
EMP0002,SKILL026,Intermediate,2.5
EMP0003,SKILL018,Intermediate,2.2
EMP0003,SKILL029,Advanced,3.0
EMP0003,SKILL045,Beginner,0.5
EMP0003,SKILL028,Advanced,1.8
EMP0003,SKILL024,Intermediate,0.6
EMP0004,SKILL024,Expert,9.4
EMP0004,SKILL034,Intermediate,1.2
EMP0004,SKILL020,Expert,8.1
EMP0004,SKILL029,Expert,9.3
EMP0004,SKILL023,Intermediate,1.8
EMP0004,SKILL045,Beginner,0.8
EMP0004,SKILL033,Expert,8.5
EMP0004,SKILL032,Expert,6.2
EMP0004,SKILL031,Beginner,0.6
EMP0004,SKILL035,Expert,5.9
EMP0005,SKILL032,Expert,5.8
EMP0005,SKILL027,Advanced,8.9
EMP0005,SKILL045,Beginner,2.7
EMP0005,SKILL031,Advanced,6.6
EMP0005,SKILL024,Intermediate,3.8
EMP0005,SKILL035,Advanced,4.5
EMP0005,SKILL033,Expert,8.8
EMP0005,SKILL023,Advanced,5.1
EMP0005,SKILL029,Intermediate,2.7
EMP0005,SKILL034,Expert,4.1
EMP0005,SKILL020,Advanced,2.2
EMP0006,SKILL049,Intermediate,5.0
EMP0006,SKILL018,Advanced,5.3
EMP0006,SKILL038,Expert,6.3
EMP0006,SKILL024,Advanced,4.6
EMP0006,SKILL039,Beginner,0.5
EMP0006,SKILL029,Advanced,6.5
EMP0006,SKILL028,Expert,7.3
EMP0006,SKILL045,Intermediate,1.5
EMP0007,SKILL035,Beginner,0.7
EMP0007,SKILL045,Intermediate,0.9
EMP0007,SKILL034,Expert,4.0
EMP0007,SKILL020,Advanced,3.5
EMP0007,SKILL024,Beginner,2.0
EMP0007,SKILL029,Advanced,3.0
EMP0007,SKILL031,Intermediate,1.9
EMP0008,SKILL001,Beginner,2.6
EMP0008,SKILL043,Beginner,0.9
EMP0008,SKILL010,Advanced,3.8
EMP0008,SKILL025,Beginner,0.6
EMP0008,SKILL003,Advanced,3.6
EMP0008,SKILL021,Expert,3.1
EMP0008,SKILL011,Advanced,3.6
EMP0008,SKILL009,Beginner,0.6
EMP0008,SKILL045,Advanced,3.5
EMP0008,SKILL015,Beginner,2.6
EMP0009,SKILL007,Intermediate,1.7
EMP0009,SKILL001,Intermediate,1.9
EMP0009,SKILL012,Intermediate,1.7
EMP0009,SKILL010,Advanced,1.3
EMP0009,SKILL014,Advanced,5.2
EMP0009,SKILL026,Beginner,0.7
EMP0009,SKILL004,Advanced,2.5
EMP0009,SKILL011,Intermediate,2.5
EMP0009,SKILL003,Expert,6.3
EMP0009,SKILL009,Intermediate,2.3
EMP0009,SKILL017,Advanced,4.8
EMP0010,SKILL039,Expert,7.8
EMP0010,SKILL038,Advanced,5.1
EMP0010,SKILL045,Advanced,3.4
EMP0010,SKILL029,Advanced,8.2
EMP0010,SKILL024,Advanced,4.5
EMP0010,SKILL028,Advanced,9.1
EMP0011,SKILL018,Intermediate,3.9
EMP0011,SKILL029,Expert,4.2
EMP0011,SKILL032,Intermediate,2.4
EMP0011,SKILL023,Advanced,2.9
EMP0011,SKILL020,Intermediate,4.0
EMP0011,SKILL038,Advanced,5.3
EMP0012,SKILL039,Beginner,2.7
EMP0012,SKILL024,Expert,4.5
EMP0012,SKILL020,Advanced,3.3
EMP0012,SKILL045,Expert,4.5
EMP0012,SKILL028,Intermediate,2.6
EMP0013,SKILL023,Intermediate,1.2
EMP0013,SKILL010,Beginner,0.5
EMP0013,SKILL011,Advanced,7.4
EMP0013,SKILL012,Advanced,7.2
EMP0013,SKILL043,Intermediate,4.3
EMP0014,SKILL028,Advanced,3.8
EMP0014,SKILL027,Intermediate,1.7
EMP0014,SKILL018,Intermediate,1.2
EMP0014,SKILL048,Beginner,1.0
EMP0014,SKILL024,Advanced,2.5
EMP0014,SKILL029,Advanced,3.9
EMP0014,SKILL020,Advanced,1.5
EMP0014,SKILL039,Advanced,3.6
EMP0014,SKILL032,Intermediate,2.7
EMP0014,SKILL038,Intermediate,2.9
EMP0014,SKILL045,Intermediate,3.7
EMP0015,SKILL031,Expert,6.7
EMP0015,SKILL024,Intermediate,2.8
EMP0015,SKILL020,Intermediate,4.2
EMP0015,SKILL045,Intermediate,5.7
EMP0015,SKILL034,Advanced,4.5
EMP0015,SKILL035,Advanced,6.8
EMP0015,SKILL033,Advanced,4.7
EMP0016,SKILL018,Expert,3.4
EMP0016,SKILL027,Expert,6.9
EMP0016,SKILL039,Intermediate,5.4
EMP0016,SKILL032,Intermediate,1.2
EMP0016,SKILL038,Expert,7.0
EMP0016,SKILL029,Expert,3.4
EMP0016,SKILL045,Advanced,8.9
EMP0016,SKILL020,Advanced,3.0
EMP0016,SKILL023,Intermediate,1.4
EMP0017,SKILL020,Intermediate,2.2
EMP0017,SKILL039,Intermediate,4.7
EMP0017,SKILL038,Expert,5.0
EMP0017,SKILL029,Expert,3.6
EMP0017,SKILL045,Beginner,0.9
EMP0018,SKILL038,Intermediate,3.9
EMP0018,SKILL029,Expert,3.9
EMP0018,SKILL024,Advanced,5.4
EMP0018,SKILL020,Intermediate,2.8
EMP0018,SKILL018,Advanced,4.7
EMP0019,SKILL028,Advanced,6.1
EMP0019,SKILL018,Beginner,0.8
EMP0019,SKILL038,Intermediate,3.3
EMP0019,SKILL020,Intermediate,2.7
EMP0019,SKILL029,Intermediate,5.5
EMP0020,SKILL003,Intermediate,1.4
EMP0020,SKILL045,Intermediate,2.6
EMP0020,SKILL025,Expert,6.9
EMP0020,SKILL043,Advanced,3.7
EMP0020,SKILL009,Advanced,8.3
EMP0020,SKILL010,Expert,6.0
EMP0020,SKILL044,Intermediate,4.2
EMP0020,SKILL006,Advanced,4.8
EMP0020,SKILL002,Expert,6.8
EMP0020,SKILL001,Advanced,7.6
EMP0021,SKILL012,Advanced,2.9
EMP0021,SKILL045,Advanced,4.3
EMP0021,SKILL017,Expert,3.8
EMP0021,SKILL025,Intermediate,2.4
EMP0021,SKILL026,Advanced,6.1
EMP0022,SKILL029,Advanced,3.8
EMP0022,SKILL045,Beginner,0.5
EMP0022,SKILL018,Advanced,3.5
EMP0022,SKILL049,Advanced,3.7
EMP0022,SKILL039,Advanced,4.4
EMP0022,SKILL028,Intermediate,2.5
EMP0022,SKILL038,Intermediate,1.2
EMP0022,SKILL024,Expert,3.3
EMP0022,SKILL020,Expert,3.5
EMP0023,SKILL045,Expert,6.2
EMP0023,SKILL029,Intermediate,1.3
EMP0023,SKILL020,Expert,3.9
EMP0023,SKILL024,Expert,3.5
EMP0023,SKILL038,Advanced,4.7
EMP0023,SKILL032,Advanced,5.2
EMP0023,SKILL018,Advanced,5.2
EMP0023,SKILL027,Intermediate,3.6
EMP0023,SKILL023,Expert,5.4
EMP0023,SKILL039,Expert,6.3
EMP0024,SKILL023,Expert,6.8
EMP0024,SKILL024,Expert,10.0
EMP0024,SKILL034,Advanced,5.9
EMP0024,SKILL035,Advanced,6.9
EMP0024,SKILL027,Advanced,3.0
EMP0025,SKILL029,Beginner,0.5
EMP0025,SKILL020,Intermediate,2.8
EMP0025,SKILL024,Advanced,3.0
EMP0025,SKILL038,Intermediate,0.6
EMP0025,SKILL018,Expert,3.9
EMP0025,SKILL028,Intermediate,2.7
EMP0025,SKILL045,Intermediate,0.8
EMP0026,SKILL050,Advanced,5.3
EMP0026,SKILL029,Advanced,8.2
EMP0026,SKILL031,Expert,4.6
EMP0026,SKILL045,Expert,6.0
EMP0026,SKILL035,Advanced,3.3
EMP0027,SKILL024,Advanced,4.0
EMP0027,SKILL033,Advanced,8.0
EMP0027,SKILL031,Expert,10.1
EMP0027,SKILL027,Intermediate,0.5
EMP0027,SKILL034,Advanced,5.8
EMP0027,SKILL032,Expert,7.2
EMP0028,SKILL044,Expert,9.2
EMP0028,SKILL021,Advanced,5.3
EMP0028,SKILL007,Advanced,1.1
EMP0028,SKILL010,Advanced,8.1
EMP0028,SKILL026,Advanced,5.1
EMP0028,SKILL015,Intermediate,1.2
EMP0028,SKILL013,Expert,8.7
EMP0028,SKILL011,Intermediate,3.8
EMP0028,SKILL045,Intermediate,1.7
EMP0028,SKILL025,Advanced,3.2
EMP0028,SKILL003,Advanced,3.9
EMP0028,SKILL043,Advanced,9.1
EMP0029,SKILL018,Expert,3.5
EMP0029,SKILL039,Expert,6.2
EMP0029,SKILL024,Beginner,0.6
EMP0029,SKILL045,Advanced,4.6
EMP0029,SKILL020,Intermediate,2.3
EMP0030,SKILL029,Beginner,1.0
EMP0030,SKILL024,Intermediate,2.8
EMP0030,SKILL045,Advanced,3.0
EMP0030,SKILL032,Expert,3.3
EMP0030,SKILL027,Intermediate,3.2
EMP0030,SKILL035,Beginner,0.9
EMP0030,SKILL023,Expert,3.7
EMP0030,SKILL034,Beginner,0.6
EMP0030,SKILL020,Intermediate,2.3
EMP0030,SKILL031,Advanced,2.0
EMP0031,SKILL027,Advanced,5.5
EMP0031,SKILL029,Advanced,7.0
EMP0031,SKILL031,Beginner,0.7
EMP0031,SKILL023,Beginner,2.2
EMP0031,SKILL045,Advanced,6.7
EMP0031,SKILL024,Beginner,1.6
EMP0031,SKILL020,Intermediate,1.1
EMP0031,SKILL034,Expert,9.1
EMP0031,SKILL033,Expert,9.8
EMP0032,SKILL004,Beginner,2.3
EMP0032,SKILL011,Intermediate,4.4
EMP0032,SKILL010,Intermediate,3.9
EMP0032,SKILL001,Advanced,3.4
EMP0032,SKILL015,Expert,6.6
EMP0032,SKILL014,Advanced,4.8
EMP0032,SKILL025,Intermediate,4.0
EMP0032,SKILL021,Advanced,7.0
EMP0032,SKILL007,Intermediate,3.7
EMP0033,SKILL018,Advanced,3.8
EMP0033,SKILL038,Advanced,6.3
EMP0033,SKILL020,Expert,5.2
EMP0033,SKILL045,Advanced,4.0
EMP0033,SKILL028,Advanced,4.3
EMP0033,SKILL039,Expert,4.3
EMP0033,SKILL050,Beginner,0.9
EMP0034,SKILL038,Beginner,0.7
EMP0034,SKILL029,Intermediate,1.1
EMP0034,SKILL024,Advanced,3.2
EMP0034,SKILL020,Advanced,1.3
EMP0034,SKILL028,Intermediate,1.4
EMP0034,SKILL045,Intermediate,2.0
EMP0035,SKILL029,Intermediate,1.7
EMP0035,SKILL020,Advanced,5.5
EMP0035,SKILL024,Advanced,2.9
EMP0035,SKILL031,Expert,6.3
EMP0035,SKILL034,Advanced,5.0
EMP0035,SKILL033,Advanced,4.8
EMP0035,SKILL045,Beginner,0.6
EMP0036,SKILL032,Advanced,3.7
EMP0036,SKILL027,Advanced,4.6
EMP0036,SKILL031,Advanced,4.5
EMP0036,SKILL034,Intermediate,2.7
EMP0036,SKILL024,Advanced,4.6
EMP0036,SKILL045,Advanced,3.8
EMP0036,SKILL023,Advanced,3.5
EMP0037,SKILL045,Intermediate,1.8
EMP0037,SKILL029,Advanced,5.8
EMP0037,SKILL024,Intermediate,1.0
EMP0037,SKILL035,Intermediate,4.7
EMP0037,SKILL034,Intermediate,5.2
EMP0037,SKILL033,Advanced,6.9
EMP0037,SKILL031,Advanced,5.5
EMP0037,SKILL020,Advanced,5.0
EMP0038,SKILL024,Advanced,6.2
EMP0038,SKILL029,Advanced,4.1
EMP0038,SKILL031,Expert,8.8
EMP0038,SKILL033,Advanced,1.2
EMP0038,SKILL045,Advanced,5.3
EMP0039,SKILL045,Advanced,2.2
EMP0039,SKILL027,Advanced,1.5
EMP0039,SKILL033,Intermediate,3.5
EMP0039,SKILL029,Advanced,5.4
EMP0039,SKILL020,Beginner,0.6
EMP0040,SKILL046,Advanced,3.0
EMP0040,SKILL004,Intermediate,2.3
EMP0040,SKILL025,Intermediate,0.6
EMP0040,SKILL045,Intermediate,3.3
EMP0040,SKILL007,Intermediate,2.0
EMP0040,SKILL010,Beginner,0.6
EMP0040,SKILL017,Advanced,3.1
EMP0040,SKILL013,Intermediate,3.3
EMP0040,SKILL026,Advanced,4.4
EMP0040,SKILL021,Expert,4.6
EMP0040,SKILL043,Intermediate,1.8
EMP0041,SKILL045,Advanced,3.2
EMP0041,SKILL033,Intermediate,2.1
EMP0041,SKILL035,Intermediate,5.3
EMP0041,SKILL020,Beginner,1.2
EMP0041,SKILL031,Advanced,5.4
EMP0041,SKILL029,Advanced,4.7
EMP0042,SKILL020,Intermediate,2.8
EMP0042,SKILL029,Advanced,5.2
EMP0042,SKILL028,Advanced,4.2
EMP0042,SKILL039,Intermediate,4.4
EMP0042,SKILL045,Expert,3.3
EMP0043,SKILL039,Advanced,3.6
EMP0043,SKILL029,Advanced,7.4
EMP0043,SKILL028,Advanced,1.6
EMP0043,SKILL038,Beginner,0.7
EMP0043,SKILL020,Expert,5.1
EMP0043,SKILL045,Advanced,1.8
EMP0043,SKILL024,Advanced,7.5
EMP0043,SKILL018,Expert,6.0
EMP0043,SKILL047,Advanced,4.6
EMP0044,SKILL045,Intermediate,2.2
EMP0044,SKILL021,Advanced,4.6
EMP0044,SKILL003,Advanced,3.3
EMP0044,SKILL025,Advanced,7.3
EMP0044,SKILL007,Advanced,4.9
EMP0044,SKILL009,Advanced,5.0
EMP0045,SKILL024,Beginner,1.1
EMP0045,SKILL039,Advanced,1.5
EMP0045,SKILL027,Expert,3.1
EMP0045,SKILL020,Intermediate,2.8
EMP0045,SKILL018,Expert,4.5
EMP0045,SKILL045,Intermediate,2.1
EMP0045,SKILL029,Advanced,4.3
EMP0045,SKILL047,Advanced,3.6
EMP0045,SKILL028,Advanced,1.3
EMP0045,SKILL038,Advanced,3.9
EMP0046,SKILL026,Advanced,4.2
EMP0046,SKILL008,Advanced,4.8
EMP0046,SKILL009,Advanced,6.4
EMP0046,SKILL012,Advanced,5.9
EMP0046,SKILL025,Intermediate,3.3
EMP0046,SKILL003,Expert,6.0
EMP0046,SKILL015,Expert,6.3
EMP0046,SKILL001,Expert,4.5
EMP0047,SKILL029,Intermediate,0.7
EMP0047,SKILL018,Advanced,4.6
EMP0047,SKILL028,Intermediate,2.1
EMP0047,SKILL050,Intermediate,1.2
EMP0047,SKILL024,Advanced,4.7
EMP0047,SKILL020,Intermediate,3.6
EMP0047,SKILL045,Intermediate,5.4
EMP0048,SKILL043,Beginner,0.8
EMP0048,SKILL021,Beginner,1.9
EMP0048,SKILL011,Beginner,1.1
EMP0048,SKILL026,Intermediate,2.2
EMP0048,SKILL025,Advanced,1.4
EMP0048,SKILL007,Beginner,1.1
