invoiceNumber,po_id,amount,issue_date,due_date,paid_date,status,late_payment_flag,supplierReference,glAccount,costCenter,invoiceText,postingDate
INV-3c8ba85e,PO-003958fb53,1267.26,2024-12-15T07:41:40,2025-03-15T07:41:40,2025-03-03T07:41:40,paid,False,6260200937146,GL-1137,CC-MKT-NS_NESC_2024_001,Invoice for PO PO-003958fb53,2024-12-21 07:41:40
INV-22b5c8af,PO-00886103e0,127825.5,2023-12-15T08:12:32,2024-03-14T08:12:32,2024-03-11T08:12:32,paid,False,1236580643491,GL-1167,CC-168,Invoice for PO PO-00886103e0,2023-12-25 08:12:32
INV-74f3ceaa,PO-00886103e0,122174.5,2023-12-17T08:12:32,2024-03-16T08:12:32,2024-03-06T08:12:32,paid,False,6242077616775,GL-1191,CC-168,Invoice for PO PO-00886103e0,2023-12-25 08:12:32
INV-418e9f77,PO-0159da9b18,20571.26,2024-05-07T08:30:36,2024-06-06T08:30:36,2024-05-22T08:30:36,paid,False,3029280819352,GL-1049,CC-135,Invoice for PO PO-0159da9b18,2024-05-08 08:30:36
INV-73a4ed54,PO-01869b113d,17813.63,2025-02-05T08:09:52,2025-05-06T08:09:52,2025-04-26T08:09:52,paid,False,1249126839944,GL-1188,CC-165,Invoice for PO PO-01869b113d,2025-02-06 08:09:52
INV-8f686935,PO-01ac97bc64,2398.72,2024-12-18T01:26:28,2025-03-18T01:26:28,2025-03-08T01:26:28,paid,False,6587471872526,GL-1196,CC-MKT-EM_WSF_2024_001,Invoice for PO PO-01ac97bc64,2024-12-20 01:26:28
INV-417e445c,PO-01ac97bc64,2345.27,2024-12-17T01:26:28,2025-03-17T01:26:28,2025-04-05T01:26:28,paid,True,5109395662758,GL-1192,CC-MKT-EM_WSF_2024_001,Invoice for PO PO-01ac97bc64,2024-12-21 01:26:28
INV-67360fc6,PO-01ac97bc64,2256.01,2024-12-18T01:26:28,2025-03-18T01:26:28,2025-03-14T01:26:28,paid,False,0579563672141,GL-1091,CC-MKT-EM_WSF_2024_001,Invoice for PO PO-01ac97bc64,2024-12-21 01:26:28
INV-020497e8,PO-01f77d24df,175.37,2024-12-28T21:56:59,2025-02-26T21:56:59,2025-02-23T21:56:59,paid,False,8602780332467,GL-1080,CC-MKT-EL_VOGUE_2024_001,Invoice for PO PO-01f77d24df,2024-12-31 21:56:59
INV-692cde86,PO-02ca19fe68,2101.79,2024-10-27T08:27:49,2025-01-25T08:27:49,2025-01-23T08:27:49,paid,False,8621744202165,GL-1065,CC-117,Invoice for PO PO-02ca19fe68,2024-10-29 08:27:49
INV-0d3e92b2,PO-02ca19fe68,1806.93,2024-10-26T08:27:49,2025-01-24T08:27:49,2025-01-12T08:27:49,paid,False,9735635077530,GL-1012,CC-117,Invoice for PO PO-02ca19fe68,2024-11-01 08:27:49
INV-374547e9,PO-02cdf869ea,144.68,2024-08-31T00:20:19,2024-10-30T00:20:19,2024-10-15T00:20:19,paid,False,3686813187267,GL-1196,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-02cdf869ea,2024-09-09 00:20:19
INV-db2b980d,PO-02cdf869ea,144.96,2024-08-28T00:20:19,2024-10-27T00:20:19,2024-11-01T00:20:19,paid,True,6236744212223,GL-1114,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-02cdf869ea,2024-09-01 00:20:19
INV-a5636ebc,PO-02cdf869ea,151.92,2024-08-27T00:20:19,2024-10-26T00:20:19,2024-10-18T00:20:19,paid,False,6672146746551,GL-1151,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-02cdf869ea,2024-08-31 00:20:19
INV-dfa02360,PO-02cfa38eb5,377.33,2024-03-02T23:57:18,2024-04-01T23:57:18,2024-05-01T23:57:18,paid,True,7648016366517,GL-1045,CC-MKT-EM_SW_2024_001,Invoice for PO PO-02cfa38eb5,2024-03-10 23:57:18
INV-22b72af7,PO-02cfa38eb5,332.29,2024-03-04T23:57:18,2024-04-03T23:57:18,2024-03-28T23:57:18,paid,False,3151858922376,GL-1142,CC-MKT-EM_SW_2024_001,Invoice for PO PO-02cfa38eb5,2024-03-12 23:57:18
INV-08c165ae,PO-0362f3fdb9,124851.55,2025-06-07T08:16:43,2025-07-07T08:16:43,2025-07-12T08:16:43,paid,True,0088944321559,GL-1192,CC-162,Invoice for PO PO-0362f3fdb9,2025-06-13 08:16:43
INV-c0bb1341,PO-0429b5aec0,1909.34,2024-09-19T02:41:24,2024-11-18T02:41:24,2024-11-14T02:41:24,paid,False,0988228104079,GL-1153,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-0429b5aec0,2024-09-22 02:41:24
INV-9d586596,PO-0429b5aec0,2090.66,2024-09-18T02:41:24,2024-11-17T02:41:24,2024-11-03T02:41:24,paid,False,3808755162526,GL-1137,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-0429b5aec0,2024-09-21 02:41:24
INV-ae957f65,PO-0449ed302f,363.89,2024-06-17T08:15:48,2024-08-16T08:15:48,2024-08-21T08:15:48,paid,True,5037469029858,GL-1047,CC-125,Invoice for PO PO-0449ed302f,2024-06-24 08:15:48
INV-7df668c3,PO-0449ed302f,347.0,2024-06-14T08:15:48,2024-08-13T08:15:48,2024-08-11T08:15:48,paid,False,1196064606063,GL-1168,CC-125,Invoice for PO PO-0449ed302f,2024-06-20 08:15:48
