sku,name,description,unitOfMeasure,isCritical,category_L1,category_L2,category_L3,category_L4
PROD-4aad16,Stainless Steel Water Bottle,Durable and eco-friendly water bottle made from high-quality stainless steel.,Box,False,Direct Materials,Packaging Materials,Primary Packaging,"Bottles, Jars & Cans"
PROD-c76dfe,SlimFlex Stretch Wrap,"A versatile stretch wrap ideal for organizing, securing, and protecting items during storage or transport.",Piece,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Stretch & Shrink Wrap
PROD-78f3c5,Quinoa Harvest,Organic quinoa grown to perfection for your healthy meals,KG,False,Direct Materials,Raw Materials,Agricultural Products,Grains & Cereals
PROD-9b2b96,VersaPack Compact Backpack,"A lightweight, versatile backpack perfect for daily commuting and travel.",KG,False,Direct Materials,Packaging Materials,Primary Packaging,"Bags, Pouches & Wrappers"
PROD-099068,Precision Roller Bearing,High-quality rolling bearings designed to reduce friction and wear in mechanical systems.,Set,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Bearings & Gears
PROD-0ca038,QuantumLogic Chip,An advanced semiconductor designed to enhance processing power and energy efficiency.,Piece,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,Semiconductors & Integrated Circuits
PROD-2f9555,Organic Cotton T-Shirt,Eco-friendly cotton t-shirt perfect for everyday wear.,KG,False,Direct Materials,Raw Materials,Agricultural Products,"Fibers (Cotton, Wool)"
PROD-8a6cdb,Precision Alloy Bracket,High-quality stamped metal part designed for durability and reliability in mechanical assemblies.,Set,False,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Stamped Metal Parts
PROD-706420,PolyFlex Mold,A high-performance injection molded plastic mold designed to produce durable and flexible components with precision.,Piece,True,Direct Materials,Raw Materials,Plastics & Polymers,Injection Molded Plastics
PROD-53dedd,Organic Cotton Blend T-Shirt,A comfortable and eco-friendly t-shirt made from high-quality organic cotton for a sustainable wardrobe.,Piece,False,Direct Materials,Raw Materials,Agricultural Products,"Fibers (Cotton, Wool)"
PROD-5594e4,Precision Steel Casting,High-quality steel castings designed for durability and precision applications.,KG,False,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Castings & Forgings
PROD-39a786,Premium Aluminum Film,"Durable and lightweight aluminum film ideal for protective coatings on windows, panels, or other surfaces.",Set,False,Direct Materials,Raw Materials,Plastics & Polymers,Films & Sheeting
PROD-698fe3,Quinoa Harvest,Organically grown quinoa offering a complete protein source and essential nutrients perfect for your everyday meals.,Piece,False,Direct Materials,Raw Materials,Agricultural Products,Grains & Cereals
PROD-107830,RuggedCore Pro,A durable high-performance PCB designed for industrial environments with enhanced thermal stability and reduced signal interference.,Set,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,Printed Circuit Boards (PCBs)
PROD-863291,Precision Film Resistor,A high-precision resistor designed for critical applications requiring stable and accurate resistance.,Box,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-1e58ae,Precision Alloy Casting,High-quality castings made from advanced alloys for industrial applications.,Piece,False,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Castings & Forgings
PROD-751c80,MicroPower Pro Series,High-efficiency integrated circuits designed for energy savings and performance optimization.,Piece,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,Semiconductors & Integrated Circuits
PROD-d40fc6,CleanPurge Solvent,A high-performance solvent ideal for cleaning electronic components and delicate surfaces without leaving residues.,Set,True,Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives
PROD-9f204d,Precision Tolerance Resistor,A high-quality resistor designed for accurate and stable performance in electronic circuits.,Piece,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
