riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-b0265605,SUP-c177f0f3,Country Risk,15.0,Country Risk for supplier SUP-c177f0f3 is 15.,Diversify supply base to reduce dependence on high-risk countries.,Active
RISK-06556b85,SUP-c177f0f3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c177f0f3 is 0.,Diversify the supplier base to reduce reliance on any single source.,Active
RISK-92411b04,SUP-c177f0f3,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-c177f0f3 is 0.,Conduct regular financial health assessments to identify potential risks and strengthen financial controls.,Active
RISK-0da2dd0b,SUP-c177f0f3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c177f0f3 is 0.,Implement tiered approval processes and monitor spend concentrations to reduce financial exposure.,Active
RISK-521b01a5,SUP-630e1816,Country Risk,15.0,Country Risk for supplier SUP-630e1816 is 15.,Conduct a comprehensive review and diversification of suppliers across regions to reduce reliance on the high-risk country scoring 15.,Active
RISK-0846d350,SUP-630e1816,Single Sourcing Risk,25.0,Single Sourcing Risk for supplier SUP-630e1816 is 25.0.,Diversify suppliers by evaluating alternative vendors to reduce dependency on the current single source at high risk level.,Active
RISK-b87f9634,SUP-630e1816,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-630e1816 is 10.,Immediately review the supplier's financial statements to assess solvency and promptly renegotiate payment terms or seek alternative suppliers if their credit rating falls below BBB.,Active
RISK-3543fd29,SUP-630e1816,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-630e1816 is 0.,Diversify spend across multiple suppliers to reduce concentration risk.,Active
RISK-e0b082f9,SUP-ce383983,Country Risk,15.0,Country Risk for supplier SUP-ce383983 is 15.,Conduct thorough due diligence on suppliers in high-risk countries and ensure they adhere to stringent ethical business practices and local regulations.,Active
RISK-628efe25,SUP-ce383983,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-ce383983 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-07fb95fc,SUP-ce383983,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-ce383983 is 10.,Conduct thorough financial health assessments of suppliers and establish regular monitoring procedures to identify potential issues early.,Active
RISK-a56384d0,SUP-ce383983,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-ce383983 is 0.,Diversify the procurement portfolio to reduce dependence on any single vendor.,Active
RISK-62bc599b,SUP-56949b12,Country Risk,15.0,Country Risk for supplier SUP-56949b12 is 15.,Conduct regular audits of the local market and regulatory environment to ensure compliance and minimize exposure.,Active
RISK-b0902a43,SUP-56949b12,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-56949b12 is 0.,Diversify suppliers to reduce reliance on a single source.,Active
RISK-7c84e2ab,SUP-56949b12,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-56949b12 is 25.,Conduct quarterly credit assessments and diversify supplier base to reduce financial health risks.,Active
RISK-661822ba,SUP-56949b12,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-56949b12 is 0.,"Diversify suppliers to reduce concentration risk, ensuring continuous supply chain resilience.",Active
RISK-cf6a12af,SUP-2216f853,Country Risk,15.0,Country Risk for supplier SUP-2216f853 is 15.,Conduct regular audits on suppliers in the high-risk country to ensure compliance with international standards and regulations.,Active
RISK-829ad4b2,SUP-2216f853,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-2216f853 is 0.,Diversify supply sources to reduce dependency on single suppliers.,Active
RISK-5f29e3a6,SUP-2216f853,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-2216f853 is 10.,Conduct quarterly financial health assessments and stress tests on suppliers to identify potential risks early and ensure timely corrective actions.,Active
RISK-34b0cba3,SUP-2216f853,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-2216f853 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-fd931a5b,SUP-e7215832,Country Risk,15.0,Country Risk for supplier SUP-e7215832 is 15.,Conduct regular geopolitical assessments and diversify operations across multiple countries to mitigate risks associated with the country scoring 15 on our risk assessment scale.,Active
RISK-bab5fd1b,SUP-e7215832,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-e7215832 is 0.,Implement dual sourcing strategy to reduce dependency on single suppliers.,Active
RISK-06929a2b,SUP-e7215832,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-e7215832 is 10.,"Conduct quarterly financial health assessments to monitor supplier's liquidity, solvency, and debt levels.",Active
RISK-26d0cc50,SUP-e7215832,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-e7215832 is 0.,Diversify procurement sources to reduce concentration in spend.,Active
RISK-659ec312,SUP-72cf13ec,Country Risk,0.0,Country Risk for supplier SUP-72cf13ec is 0.,Increase local presence by hiring and training nationals to mitigate country risk.,Active
RISK-798a39a8,SUP-72cf13ec,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-72cf13ec is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-b48347ce,SUP-72cf13ec,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-72cf13ec is 10.,Enhance financial health monitoring by implementing quarterly audits and stress tests to assess liquidity and solvency.,Active
RISK-8fb06021,SUP-72cf13ec,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-72cf13ec is 0.,Implement diversified sourcing strategy to reduce dependency on single suppliers and enhance supply chain resilience.,Active
RISK-fef73032,SUP-dbadcc74,Country Risk,0.0,Country Risk for supplier SUP-dbadcc74 is 0.,Diversify supply chain by sourcing from multiple countries to reduce dependence on high-risk regions.,Active
RISK-5a0c3849,SUP-dbadcc74,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-dbadcc74 is 0.,Develop a contingency plan.,Active
RISK-d26be2a3,SUP-dbadcc74,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-dbadcc74 is 0.,Conduct quarterly financial health assessments and implement credit checks on new suppliers to ensure they maintain strong financial stability.,Active
RISK-9181e312,SUP-dbadcc74,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-dbadcc74 is 0.,Enhance diversification of suppliers to reduce concentration risk scores.,Active
RISK-f1785c80,SUP-03cd361b,Country Risk,15.0,Country Risk for supplier SUP-03cd361b is 15.,"Conduct comprehensive due diligence on local regulations, security measures, and political stability to ensure compliance and reduce operational disruptions.",Active
RISK-6baf9e87,SUP-03cd361b,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-03cd361b is 0.,Diversify supply chain to reduce dependency on a single supplier.,Active
RISK-157fa4a9,SUP-03cd361b,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-03cd361b is 10.,Conduct quarterly financial health assessments on the supplier to monitor their liquidity and solvency.,Active
RISK-e097371e,SUP-03cd361b,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-03cd361b is 0.,Develop a contingency plan.,Active
RISK-72428be6,SUP-14b408e9,Country Risk,0.0,Country Risk for supplier SUP-14b408e9 is 0.,Conduct regular geopolitical assessments and diversify supply chains to mitigate country risk.,Active
RISK-557e8f98,SUP-14b408e9,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-14b408e9 is 0.,Diversify suppliers to reduce dependency on a single source and enhance supply chain resilience.,Active
RISK-414c6074,SUP-14b408e9,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-14b408e9 is 0.,Enhance financial monitoring by implementing regular audits and stress tests to assess the supplier's liquidity and solvency.,Active
RISK-caaf9d54,SUP-14b408e9,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-14b408e9 is 0.,Diversify suppliers to reduce dependency on any single vendor.,Active
RISK-ae1bc5d6,SUP-2a28bb49,Country Risk,15.0,Country Risk for supplier SUP-2a28bb49 is 15.,Conduct regular assessments of the local regulatory environment and political stability to ensure compliance and minimize disruptions.,Active
RISK-953e7e18,SUP-2a28bb49,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-2a28bb49 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-4bc501b4,SUP-2a28bb49,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-2a28bb49 is 0.,Conduct quarterly financial health assessments and maintain diversified vendor relationships to mitigate the impact of potential supplier financial health risks.,Active
RISK-c87844ec,SUP-2a28bb49,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-2a28bb49 is 0.,Implement diversified supply chain strategies to reduce reliance on any single supplier.,Active
RISK-087d8d1c,SUP-b58aa36c,Country Risk,15.0,Country Risk for supplier SUP-b58aa36c is 15.,Conduct regular country risk assessments to identify potential vulnerabilities.,Active
RISK-716b738e,SUP-b58aa36c,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b58aa36c is 0.,Diversify suppliers to reduce reliance on single sources.,Active
RISK-0138cfc9,SUP-b58aa36c,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-b58aa36c is 0.,Monitor quarterly financial statements and credit ratings to ensure the supplier maintains good financial health.,Active
RISK-2e478eea,SUP-b58aa36c,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b58aa36c is 0.,Diversify the procurement portfolio across multiple suppliers to reduce concentration risk.,Active
RISK-b83f2bf9,SUP-adf136b1,Country Risk,15.0,Country Risk for supplier SUP-adf136b1 is 15.,Enhance local compliance audits and establish dual sourcing agreements to mitigate country risk.,Active
RISK-e9492609,SUP-adf136b1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-adf136b1 is 0.,Diversify suppliers to reduce reliance on single sources.,Active
RISK-62c6595c,SUP-adf136b1,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-adf136b1 is 10.,Conduct thorough financial health assessments before onboarding suppliers.,Active
RISK-23289d58,SUP-adf136b1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-adf136b1 is 0.,Implement tiered purchasing policies to spread financial exposure across multiple suppliers.,Active
RISK-31912da3,SUP-6567bb96,Country Risk,15.0,Country Risk for supplier SUP-6567bb96 is 15.,"Conduct thorough due diligence on suppliers in countries with high risk scores to ensure compliance with local laws and ethical standards, including regular audits and performance reviews.",Active
RISK-0faa9f88,SUP-6567bb96,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6567bb96 is 0.,Diversify supply chain by establishing relationships with additional suppliers to reduce reliance on single sources.,Active
RISK-e3fb3259,SUP-6567bb96,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-6567bb96 is 0.,Conduct quarterly credit rating reviews to ensure the supplier maintains strong financial health.,Active
