riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-5989a3ef,SUP-154dd692,Country Risk,0.0,Country Risk for supplier SUP-154dd692 is 0.,N/A,Active
RISK-4967828d,SUP-154dd692,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-154dd692 is 0.,N/A,Active
RISK-0dc09020,SUP-154dd692,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-154dd692 is 0.,N/A,Active
RISK-3b13c4c1,SUP-154dd692,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-154dd692 is 0.,N/A,Active
RISK-efd8354f,SUP-f23a29b3,Country Risk,15.0,Country Risk for supplier SUP-f23a29b3 is 15.,N/A,Active
RISK-d21d91d2,SUP-f23a29b3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f23a29b3 is 0.,N/A,Active
RISK-4abaebeb,SUP-f23a29b3,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f23a29b3 is 0.,N/A,Active
RISK-5a7b85a4,SUP-f23a29b3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f23a29b3 is 0.,N/A,Active
RISK-8cc8f419,SUP-09b2252b,Country Risk,15.0,Country Risk for supplier SUP-09b2252b is 15.,N/A,Active
RISK-47e8ecd8,SUP-09b2252b,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-09b2252b is 0.,N/A,Active
RISK-f1bb445e,SUP-09b2252b,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-09b2252b is 10.,N/A,Active
RISK-ca18fd69,SUP-09b2252b,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-09b2252b is 0.,N/A,Active
RISK-10bd305b,SUP-5ae46043,Country Risk,15.0,Country Risk for supplier SUP-5ae46043 is 15.,N/A,Active
RISK-3b0f027d,SUP-5ae46043,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-5ae46043 is 0.,N/A,Active
RISK-74aa3a2a,SUP-5ae46043,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-5ae46043 is 0.,N/A,Active
RISK-82aae33c,SUP-5ae46043,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-5ae46043 is 0.,N/A,Active
RISK-9e30cb41,SUP-a6ad3c4e,Country Risk,0.0,Country Risk for supplier SUP-a6ad3c4e is 0.,N/A,Active
RISK-21262119,SUP-a6ad3c4e,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-a6ad3c4e is 0.,N/A,Active
RISK-2736cdae,SUP-a6ad3c4e,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-a6ad3c4e is 0.,N/A,Active
RISK-5fb70538,SUP-a6ad3c4e,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-a6ad3c4e is 0.,N/A,Active
